method	og	og_lts	single_copy
Z1	OG_90	48	False
Z1	OG_91	31	False
Z1	OG_92	27	True
Z1	OG_93	22	True
Z1	OG_94	31	True
Z1	OG_95	31	True
Z1	OG_96	31	True
Z1	OG_97	34	False
Z1	OG_98	29	True
Z1	OG_99	4	True
Z1	OG_100	8	True
Z1	OG_101	2	True
Z1	OG_102	2	True
Z1	OG_103	2	True
Z1	OG_104	3	True
Z1	OG_105	11	True
Z1	OG_106	25	False
Z1	OG_107	3	True
Z1	OG_108	5	True
Z1	OG_109	2	True
Z1	OG_110	2	True
Z1	OG_111	15	True
Z1	OG_112	12	True
Z1	OG_113	8	False
Z1	OG_114	9	True
Z1	OG_115	2	True
Z1	OG_116	4	True
Z1	OG_117	3	True
Z1	OG_118	2	True
Z1	OG_119	8	True
Z1	OG_120	3	True
Z1	OG_121	2	True
Z1	OG_122	3	True
Z1	OG_123	2	True
Z1	OG_124	2	True
Z1	OG_125	2	True
Z1	OG_126	2	True
Z1	OG_127	2	True
Z1	OG_128	5	True
Z1	OG_129	2	True
Z1	OG_130	3	True
Z1	OG_131	2	True
Z3	OG_1	77	False
Z3	OG_2	59	False
Z3	OG_3	51	False
Z3	OG_4	48	False
Z3	OG_5	47	False
Z3	OG_6	46	False
Z3	OG_7	45	False
Z3	OG_8	43	False
Z3	OG_9	43	False
Z3	OG_10	42	False
Z3	OG_11	41	False
Z3	OG_12	41	False
Z3	OG_13	39	False
Z3	OG_14	39	False
Z3	OG_15	38	False
Z3	OG_16	37	False
Z3	OG_17	37	False
Z3	OG_18	36	False
Z3	OG_19	35	False
Z3	OG_20	35	False
Z3	OG_21	35	False
Z3	OG_22	34	False
Z3	OG_23	34	False
Z3	OG_24	33	False
Z3	OG_25	32	False
Z3	OG_26	32	False
Z3	OG_27	31	False
Z3	OG_28	31	True
Z3	OG_29	29	False
Z3	OG_30	29	True
Z3	OG_31	28	False
Z3	OG_32	28	False
Z3	OG_33	24	False
Z3	OG_34	24	False
Z3	OG_35	21	False
Z3	OG_36	21	True
Z3	OG_37	19	True
Z3	OG_38	17	False
Z3	OG_39	17	False
Z3	OG_40	16	False
Z3	OG_41	16	True
Z3	OG_42	13	True
Z3	OG_43	13	True
Z3	OG_44	12	True
Z3	OG_45	12	True
Z3	OG_46	11	True
Z3	OG_47	9	True
Z3	OG_48	9	True
Z3	OG_49	8	True
Z3	OG_50	8	True
Z3	OG_51	8	True
Z3	OG_52	8	True
Z3	OG_53	7	True
Z3	OG_54	7	False
Z3	OG_55	7	False
Z3	OG_56	7	False
Z3	OG_57	7	True
Z3	OG_58	7	True
Z3	OG_59	7	True
Z3	OG_60	7	True
Z3	OG_61	6	True
Z3	OG_62	6	True
Z3	OG_63	6	True
Z3	OG_64	6	True
Z3	OG_65	6	True
Z3	OG_66	5	True
Z3	OG_67	5	True
Z3	OG_68	5	True
Z3	OG_69	5	True
Z3	OG_70	5	True
Z3	OG_71	5	True
Z3	OG_72	5	True
Z3	OG_73	5	True
Z3	OG_74	4	True
Z3	OG_75	4	True
Z3	OG_76	4	True
Z3	OG_77	4	True
Z3	OG_78	4	True
Z3	OG_79	4	True
Z3	OG_80	4	True
Z3	OG_81	4	True
Z3	OG_82	4	True
Z3	OG_83	4	True
Z3	OG_84	4	True
Z3	OG_85	4	True
Z3	OG_86	3	True
Z3	OG_87	3	True
Z3	OG_88	3	True
Z3	OG_89	3	True
Z3	OG_90	3	True
Z3	OG_91	3	True
Z3	OG_92	3	True
Z3	OG_93	3	True
Z3	OG_94	3	True
Z3	OG_95	3	True
Z3	OG_96	3	True
Z3	OG_97	3	True
Z3	OG_98	3	True
Z3	OG_99	3	True
Z3	OG_100	3	True
Z3	OG_101	2	True
Z3	OG_102	2	True
Z3	OG_103	2	True
Z3	OG_104	2	True
Z3	OG_105	2	True
Z3	OG_106	2	True
Z3	OG_107	2	True
Z3	OG_108	2	True
Z3	OG_109	2	True
Z3	OG_110	2	True
Z3	OG_111	2	True
Z3	OG_112	2	True
Z3	OG_113	2	True
Z3	OG_114	2	True
Z3	OG_115	2	True
Z3	OG_116	2	True
Z3	OG_117	2	True
Z3	OG_118	2	True
Z3	OG_119	2	True
Z3	OG_120	2	True
Z3	OG_121	2	True
ZOF	OG0000000	155	False
ZOF	OG0000001	101	False
ZOF	OG0000002	90	False
ZOF	OG0000003	73	False
ZOF	OG0000004	70	False
ZOF	OG0000005	63	False
ZOF	OG0000006	58	False
ZOF	OG0000007	55	False
ZOF	OG0000008	54	False
ZOF	OG0000009	54	False
ZOF	OG0000010	53	False
ZOF	OG0000011	53	False
ZOF	OG0000012	52	False
ZOF	OG0000013	48	False
ZOF	OG0000014	48	False
ZOF	OG0000015	46	False
ZOF	OG0000016	46	False
ZOF	OG0000017	44	False
ZOF	OG0000018	42	False
ZOF	OG0000019	42	False
ZOF	OG0000020	41	False
ZOF	OG0000021	41	False
ZOF	OG0000022	38	False
ZOF	OG0000023	36	False
ZOF	OG0000024	36	False
ZOF	OG0000025	35	False
ZOF	OG0000026	35	False
ZOF	OG0000027	34	False
ZOF	OG0000028	34	False
ZOF	OG0000029	34	False
ZOF	OG0000030	33	False
ZOF	OG0000031	33	False
ZOF	OG0000032	33	False
ZOF	OG0000033	31	True
ZOF	OG0000034	28	False
ZOF	OG0000035	24	False
ZOF	OG0000036	21	True
ZOF	OG0000037	5	True
ZOF	OG0000038	5	True
ZOF	OG0000039	4	True
ZOF	OG0000040	4	True
ZOF	OG0000041	3	True
ZOF	OG0000042	3	True
Z4	SL_6	104	False
Z4	SL_49	3	True
Z4	SL_22	6	True
Z4	SL_48	2	True
Z4	SL_10	29	False
Z4	SL_20	8	True
Z4	SL_13	4	True
Z4	SL_4	4	True
Z4	SL_32	44	False
Z4	SL_35	53	False
Z4	SL_26	42	False
Z4	SL_7	58	False
Z4	SL_27	48	False
Z4	SL_8	75	False
Z4	SL_5	96	False
Z4	SL_1	2	True
Z4	SL_21	4	True
Z4	SL_2	95	False
Z4	SL_16	3	True
Z4	SL_28	46	False
Z4	SL_29	34	False
Z4	SL_17	5	True
Z4	SL_3	54	False
Z4	SL_30	54	False
Z4	SL_31	51	False
Z4	SL_9	22	True
Z4	SL_50	2	True
Z4	SL_14	62	False
Z4	SL_19	82	False
Z4	SL_51	2	True
Z4	SL_47	2	True
Z4	SL_11	3	True
Z4	SL_24	63	False
Z4	SL_33	28	False
Z4	SL_23	31	True
Z4	SL_34	21	True
Z4	SL_15	97	False
Z4	SL_25	23	False
Z4	SL_36	21	True
Z4	SL_37	31	False
Z4	SL_12	3	True
Z4	SL_46	23	False
Z4	SL_38	44	False
Z4	SL_18	70	False
Z4	SL_39	35	False
Z4	SL_40	48	False
Z4	SL_41	34	False
Z4	SL_42	35	False
Z4	SL_43	52	False
Z4	SL_44	42	False
Z4	SL_45	33	False
