sample	segment_title	gene	key	gene_order	identity	sql_ratio
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002070|1	False	134554	97.5	1.0035714285714286
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002071|1	False	135489	96.2	0.695906432748538
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002071|2	False	136227	96.9	0.28362573099415206
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002072|1	False	136542	97.9	1.0052631578947369
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002073|1	False	137127	97.2	1.0034722222222223
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002074|1	False	138115	98.3	1.0042194092827004
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002075|1	False	138832	98.2	1.0036363636363637
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002076|1	False	139659	96.2	1.0038461538461538
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002077|1	False	140569	96.8	0.9921465968586387
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002078|1	False	141954	96.1	0.8509933774834437
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002079|1	False	142740	97.4	0.3031496062992126
t12	t12 Segment_1 (Retained); 100001 bp to Scaffold Start; 100999 bp to Scaffold End	OG_002079|2	False	143037	96.1	0.6141732283464567
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002043|1	False	100001	100.0	1.0016583747927033
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002044|1	False	101809	100.0	1.0031152647975077
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002045|1	False	102875	100.0	1.0021141649048626
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002046|1	False	104307	100.0	1.0030959752321982
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002047|1	False	105318	100.0	1.0036496350364963
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002048|1	False	106197	100.0	1.0021052631578948
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002049|1	False	107668	100.0	1.0030864197530864
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002050|1	False	108644	100.0	1.0028409090909092
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002051|1	False	109715	100.0	1.0042735042735043
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002052|1	False	110693	100.0	1.0025510204081634
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002053|1	False	112232	100.0	1.0011198208286674
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002054|1	False	115157	100.0	1.00354609929078
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002055|1	False	116021	100.0	1.003968253968254
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002056|1	False	116914	100.0	1.0021505376344086
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002057|1	False	118417	100.0	1.002309468822171
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002058|1	False	119747	100.0	1.0015243902439024
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002059|1	False	121751	100.0	1.0014025245441796
Ref_Epa_from_V583	Ref_Epa_from_V583 Segment_1 (Retained); 100001 bp to Scaffold Start; 100000 bp to Scaffold End	OG_002060|1	False	123904	100.0	1.0009551098376313
