og	og_order	genbank	og_presence	copy_count
OG_121	1	t17_fai-gene-cluster	1	
OG_121	1	t24_fai-gene-cluster	0	
OG_121	1	t15_fai-gene-cluster	0	
OG_121	1	t22_fai-gene-cluster	0	
OG_121	1	t8_fai-gene-cluster-	1	
OG_121	1	t11_fai-gene-cluster	0	
OG_121	1	t1_fai-gene-cluster-	0	
OG_121	1	t3_fai-gene-cluster-	0	
OG_121	1	t6_fai-gene-cluster-	0	
OG_121	1	t30_fai-gene-cluster	0	
OG_121	1	t28_fai-gene-cluster	0	
OG_121	1	t14_fai-gene-cluster	0	
OG_121	1	t12_fai-gene-cluster	0	
OG_121	1	t7_fai-gene-cluster-	0	
OG_121	1	t19_fai-gene-cluster	0	
OG_121	1	Ref_Epa_from_V583_fa	0	
OG_121	1	t18_fai-gene-cluster	0	
OG_121	1	t25_fai-gene-cluster	0	
OG_121	1	t4_fai-gene-cluster-	0	
OG_121	1	t5_fai-gene-cluster-	0	
OG_121	1	t29_fai-gene-cluster	0	
OG_121	1	t2_fai-gene-cluster-	0	
OG_121	1	t21_fai-gene-cluster	0	
OG_121	1	t10_fai-gene-cluster	0	
OG_121	1	t9_fai-gene-cluster-	0	
OG_121	1	t23_fai-gene-cluster	0	
OG_121	1	t26_fai-gene-cluster	0	
OG_121	1	t20_fai-gene-cluster	0	
OG_121	1	t27_fai-gene-cluster	0	
OG_121	1	t13_fai-gene-cluster	0	
OG_121	1	t16_fai-gene-cluster	0	
OG_122	2	t17_fai-gene-cluster	1	
OG_122	2	t24_fai-gene-cluster	0	
OG_122	2	t15_fai-gene-cluster	0	
OG_122	2	t22_fai-gene-cluster	0	
OG_122	2	t8_fai-gene-cluster-	1	
OG_122	2	t11_fai-gene-cluster	0	
OG_122	2	t1_fai-gene-cluster-	0	
OG_122	2	t3_fai-gene-cluster-	0	
OG_122	2	t6_fai-gene-cluster-	0	
OG_122	2	t30_fai-gene-cluster	0	
OG_122	2	t28_fai-gene-cluster	0	
OG_122	2	t14_fai-gene-cluster	1	
OG_122	2	t12_fai-gene-cluster	0	
OG_122	2	t7_fai-gene-cluster-	0	
OG_122	2	t19_fai-gene-cluster	0	
OG_122	2	Ref_Epa_from_V583_fa	0	
OG_122	2	t18_fai-gene-cluster	0	
OG_122	2	t25_fai-gene-cluster	0	
OG_122	2	t4_fai-gene-cluster-	0	
OG_122	2	t5_fai-gene-cluster-	0	
OG_122	2	t29_fai-gene-cluster	0	
OG_122	2	t2_fai-gene-cluster-	0	
OG_122	2	t21_fai-gene-cluster	0	
OG_122	2	t10_fai-gene-cluster	0	
OG_122	2	t9_fai-gene-cluster-	0	
OG_122	2	t23_fai-gene-cluster	0	
OG_122	2	t26_fai-gene-cluster	0	
OG_122	2	t20_fai-gene-cluster	0	
OG_122	2	t27_fai-gene-cluster	0	
OG_122	2	t13_fai-gene-cluster	0	
OG_122	2	t16_fai-gene-cluster	0	
OG_115	3	t17_fai-gene-cluster	0	
OG_115	3	t24_fai-gene-cluster	0	
OG_115	3	t15_fai-gene-cluster	0	
OG_115	3	t22_fai-gene-cluster	0	
