#BGC Name	Clan Number	Family Number
SKBW01000015.1.region004	495	495
SKBX01000003.1.region003	495	495
SKBY01000036.1.region001	495	495
VYXJ01000122.1.region001	495	495
VYXL01000375.1.region001	495	495
BEXC01001355.1.region001	495	509
BEXL01000147.1.region001	495	509
BEXM01000134.1.region001	495	509
BEXN01000380.1.region001	495	509
BEXO01000089.1.region001	495	509
BEXP01000363.1.region001	495	509
BEXQ01000161.1.region001	495	509
BEXR01000032.1.region001	495	509
CM030974.1.region003	495	509
CP044621.1.region003	495	509
CP047253.1.region003	495	509
CP051031.1.region003	495	509
CP059870.1.region003	495	509
JABVYR010000134.region001	495	509
JABVYT010000025.region001	495	509
JABVYU010000278.region001	495	509
JABVYW010000096.region001	495	509
JABVYY010000044.region001	495	509
JABVYZ010000029.region002	495	509
JABVZA010000182.region001	495	509
JABVZD010000110.region001	495	509
JABVZE010000063.region001	495	509
JABVZF010000040.region001	495	509
JABVZI010000286.region001	495	509
JABVZK010000291.region001	495	509
JAGYXF010000025.region002	495	509
JAMFMQ010000015.region002	495	509
JANAXL010000183.region001	495	509
JANAXY010000047.region002	495	509
JANAYE010000054.region001	495	509
JANAYH010000088.region001	495	509
JANAYO010000045.region001	495	509
JANAYV010000013.region001	495	509
JANAYW010000053.region001	495	509
JANAYY010000030.region001	495	509
JANAYZ010000005.region002	495	509
JANAZA010000032.region001	495	509
JANAZC010000003.region001	495	509
JANAZG010000164.region001	495	509
JANAZH010000122.region001	495	509
JANAZI010000118.region001	495	509
JANAZJ010000107.region001	495	509
JANAZP010000090.region001	495	509
JANAZR010000183.region001	495	509
JANAZT010000052.region001	495	509
JANAZV010000036.region001	495	509
JANAZW010000196.region001	495	509
JANAZZ010000034.region001	495	509
JANBAD010000071.region001	495	509
JANBAE010000217.region001	495	509
JANBAG010000111.region001	495	509
JANBAI010000059.region001	495	509
JANBAK010000094.region001	495	509
JANBAO010000130.region001	495	509
JANCNX010000068.region001	495	509
JANCNY010000186.region001	495	509
JAOAMT010000014.region001	495	509
JZDT01000768.1.region001	495	509
LIZJ01000199.1.region001	495	509
LOAK01000339.1.region001	495	509
LOAM01000008.1.region001	495	509
LOAO01000262.1.region001	495	509
ML734596.1.region001	495	509
NKQP01000060.1.region002	495	509
NLCJ01000103.1.region001	495	509
NLCL01000097.1.region002	495	509
NLCM01000156.1.region003	495	509
NLCN01000257.1.region002	495	509
NPKL01000032.1.region002	495	509
RAXA01000305.1.region001	495	509
RAXJ01000096.1.region001	495	509
